,Rooms,Price,Total Space,Living Space,Kitchen Space,City center distance,Metro distance,Walk,Telephone,Balcon,Floor,Floor Number,Market Type
4596,1,15000000.0,46.0,19.0,10.0,3.151952488117339,3.0,1.0,1.0,0.0,1.0,12.0,0.0
4597,2,15000000.0,64.0,38.0,8.0,3.7055970107551186,11.0,1.0,1.0,0.0,4.0,5.0,0.0
4598,4,15000000.0,72.0,52.0,9.0,4.2839325710703875,10.0,1.0,0.0,0.0,3.0,5.0,0.0
4599,2,15000000.0,50.0,26.0,8.0,2.826665749533817,5.0,1.0,1.0,0.0,6.0,15.0,0.0
4600,2,15000000.0,50.0,26.0,8.0,2.826665749533817,10.0,1.0,1.0,0.0,6.0,15.0,0.0
4601,2,15000000.0,52.0,34.0,8.0,1.614214101976371,9.0,1.0,1.0,1.0,4.0,24.0,0.0
4602,1,15000000.0,48.0,33.0,15.0,3.4491961713398682,14.0,1.0,0.0,0.0,3.0,9.0,0.0
4603,3,15000000.0,66.0,46.0,9.0,2.8289826544326817,3.0,1.0,0.0,0.0,4.0,5.0,0.0
4604,2,15000000.0,51.0,30.0,9.0,4.010047791150978,9.0,1.0,1.0,0.0,11.0,12.0,0.0
4605,2,15100000.0,52.0,38.0,1.0,4.109001548258632,6.0,1.0,1.0,0.0,7.0,10.0,0.0
4606,3,15125860.0,85.0,50.0,0.0,4.079333572472215,6.0,1.0,1.0,0.0,2.0,8.0,0.0
4607,1,15200000.0,50.0,18.0,12.0,1.5119340148772618,8.0,1.0,0.0,0.0,1.0,9.0,0.0
4608,3,15200000.0,70.0,48.0,8.0,4.3032865439766175,2.0,1.0,1.0,0.0,3.0,5.0,0.0
4609,1,15200000.0,38.0,20.0,2014.0,2.470624387921546,8.0,1.0,1.0,0.0,2.0,9.0,0.0
4610,3,15200000.0,67.0,48.0,9.0,3.5488678783136227,8.0,1.0,1.0,0.0,5.0,6.0,0.0
4611,2,15234950.0,52.0,0.0,4.0,4.079333572472215,9.0,1.0,1.0,0.0,7.0,9.0,0.0
4612,3,15300000.0,77.0,51.0,10.0,3.962297909737466,5.0,1.0,1.0,1.0,3.0,5.0,0.0
4613,2,15400000.0,46.0,30.0,7.0,1.4830402554114954,4.0,1.0,0.0,0.0,3.0,8.0,0.0
4614,3,15400000.0,64.0,46.0,6.0,2.655025172983266,6.0,1.0,1.0,0.0,2.0,5.0,0.0
4615,2,15400000.0,54.0,38.0,6.0,2.6042218181374364,5.0,1.0,1.0,1.0,4.0,7.0,0.0
4616,2,15444000.0,59.0,28.0,11.0,2.682218423183688,10.0,1.0,1.0,0.0,4.0,19.0,0.0
4617,2,15500000.0,37.0,27.0,7.0,1.359453174882275,4.0,1.0,1.0,0.0,2.0,10.0,0.0
4618,2,15500000.0,50.0,40.0,1.0,2.6136786104819274,10.0,1.0,0.0,0.0,6.0,9.0,0.0
4619,3,15500000.0,68.0,39.0,12.0,2.7694601532606034,5.0,1.0,1.0,1.0,2.0,7.0,0.0
4620,2,8628726.0,50.0,0.0,1.0,4.079333572472215,9.0,1.0,1.0,0.0,3.0,6.0,0.0
4621,3,12800000.0,60.0,40.0,9.0,3.652145884553011,10.0,1.0,0.0,1.0,2.0,7.0,0.0
4622,2,23739600.0,76.0,18.0,10.0,2.1599661621017194,6.0,1.0,1.0,0.0,2.0,8.0,0.0
4623,2,15500000.0,50.0,31.0,7.0,2.255680039289362,3.0,1.0,1.0,0.0,7.0,8.0,0.0
4624,2,15500000.0,56.0,38.0,8.0,4.568284075086749,5.0,1.0,0.0,0.0,4.0,6.0,0.0
4625,3,15500000.0,60.0,37.0,10.0,1.5810004419229624,4.0,1.0,1.0,0.0,1.0,3.0,0.0
4626,2,15500000.0,55.0,37.0,6.0,3.9489449064950026,5.0,1.0,1.0,0.0,7.0,8.0,0.0
4627,2,15500000.0,51.0,30.0,10.0,3.555832608345123,0.0,0.0,0.0,0.0,10.0,11.0,0.0
4628,1,15558050.0,45.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,2.0,6.0,0.0
4629,1,15558049.0,45.0,0.0,1.0,2.9535529068609896,8.0,1.0,1.0,0.0,2.0,7.0,0.0
4630,2,15615418.0,55.0,42.0,6.0,3.57213922727899,5.0,1.0,0.0,0.0,7.0,9.0,0.0
4631,1,15638200.0,38.0,31.0,8.0,2.900390917853843,5.0,1.0,1.0,0.0,3.0,7.0,0.0
4632,2,15650000.0,45.0,30.0,8.0,2.557560985504648,0.0,0.0,0.0,0.0,9.0,17.0,0.0
4633,1,15680000.0,39.0,32.0,8.0,2.470624387921546,10.0,1.0,1.0,0.0,3.0,8.0,0.0
